2018-11-25 23:29:54,lgbt folks higher risks cancer asthma diabetes suicide breast cancer queer women mental disorders last one greatly impacted internalized homophobiatransphobia causes great deal intrapersonal stress 
2018-11-25 23:29:51,untreated mental illness 
2018-11-25 23:29:51,learn register free december youth mental health roundtable groups designed create safe space eliminate stigma provide peer support youth adolescents living mental illness experiencing stress 
2018-11-25 23:29:24,of course complex lots issues mental illness america mean people break law ever want already homeless crises america bet give money others family sits homeless food 
2018-11-25 23:29:14,mental illness real 
2018-11-25 23:29:05,until proven dont exist of course people suffer mental distress mental health problems others cant shouldnt pathologise human experience prescribe chemicals people without evidence 
2018-11-25 23:29:04,there always people mental illness problem demand us play along delusions the left decided play along thats mental illness becomes threat rest society 
2018-11-25 23:28:39,really ppl let food touch mental illness 
2018-11-25 23:28:39,think doesnt understand why paranoid and refuse accept mental health illnesses exist 
2018-11-25 23:28:32,yes so disability immediately apparent like mental illness example make difficult people receive benefits how willfully ignorant 
2018-11-25 23:28:24,know lot people like stories magical powers manifest mental illness buti would love depression anxiety be part of something greater 
2018-11-25 23:28:10,most doctors agree stress anxiety cause many physical mental emotional sicknesses issues people lives they tell root many issues 
2018-11-25 23:27:40,agree issues important however dont agree mattering this normalizing mental illness huge problem country most people democratic party suffering mental illness one type another 
2018-11-25 23:26:59,nearly american adults suffer form mental illness how technology could help via 
2018-11-25 23:26:43,you are worth it project communicate students suffer mental illness the goal trying reach help students you dm us message us anonymously lipsi link bio also visit website 
2018-11-25 23:26:41,mental health illnesses use words understand 
2018-11-25 23:26:32,im fucking mad really dont want get involved im gon na say think dans wrong fucking mental illness youre ignorant need get grip reality people depression amp amp affects susan 
2018-11-25 23:26:16,for part helpful seeing others experiences provides hope makes feel less alone it occasionally someone else mentioned invalidating tho see ppl like experience mental illness like obviously yet 
2018-11-25 23:26:07,just something mental illness make mental illnesses lol depression anxiety different skitzophrenia different pathologies symptoms medications 
2018-11-25 23:25:57,mental illness 
2018-11-25 23:25:51,great someone told son rec hockey suffered mental illness going great past years go back unit these adults 
2018-11-25 23:25:33,earnings labeled costs pleading support funding welcome giant mental illness scam 
2018-11-25 23:25:32,religion seem akin serious mental illness hard say never seriously infected but attacked concerned protecting family friends trying understand irrational rationales hatred 
2018-11-25 23:25:26,horniness mental disease need start recognizing like depression 
2018-11-25 23:25:16,dan phil court fan base full lunatics understand impact mental illness works killed 
2018-11-25 23:25:10,so actually believe mental health illnesses dont exist 
2018-11-25 23:24:53,depression comes understanding accepting serious mental illness time life improving working honestly already well way healthy stable life happy 
2018-11-25 23:24:49,mental health professional gender dysphoria mood disorders arise gender identity issues many times people like erick erickson stigmatize issues being transgender 100 mental illness mental health issue 
2018-11-25 23:24:23,sign monthly rethink behavioral health innovation newsletter cover everything latest startups 
2018-11-25 23:24:15,government study uk found girls ages 17 19 self harm attempt suicide adolescent mental health continues decline front lines 
2018-11-25 23:24:12,knows feel any us accident illness away frm♿ physical illnessmental illness for amp division illness♿ body amp mind connected there health without mental health comes wellbeing 
2018-11-25 23:24:09,kicked high school twice sent continuation high school undiagnosed mental illness making miss class white racist little shits get away anything 
2018-11-25 23:23:21,another week anxious mental breakdowns 
2018-11-25 23:23:12,agreed inflammation root cause autoimmune diseases resulting poor health amp symptoms misdiagnosed mental illness without shred credible science proving mi exists evidence provided evidence abounds 
2018-11-25 23:23:08,went straight ib graduate social skills straight mental breakdowns week college one beat depressed dyke 
2018-11-25 23:22:46,agreed inflammation root cause autoimmune diseases resulting poor health amp symptoms misdiagnosed mental illness without shred credible science proving mi exists evidence provided evidence abounds 
2018-11-25 23:22:40,mental health professional being transgender mental illness dsm 
2018-11-25 23:22:37,its amazing far scientific research come finding treatments mental illness fingers crossed really helps lot people benefit effective treatment 
2018-11-25 23:22:26,saying shit years once open flood gates one sexual orientation used classified mental illness you open this left reaping sewed 
2018-11-25 23:22:21,no mental condition thats regardless pretend say think suicide rate change 
2018-11-25 23:22:14,never thought depression would cause able sleep energy ill sleep hour stay awake 23 physical mental energy anything productive 
2018-11-25 23:22:00,part reason dan open depression trying get rid stigma surrounding mental illness this is why he needs to because these people are exactly the reason there stigma surrounding mental illness still he wants to help 
2018-11-25 23:21:56,starting think capitalist mental illness 
2018-11-25 23:21:49,how society recognizes female mental health male mental health youve touched bit would cool also see reaction the great depression as it is 
2018-11-25 23:21:45,wait oh my god got it romanticizing mental illness 
2018-11-25 23:21:44,im fine someone suffering mental illness biological male allowed compete female sporting comps treated differently human beings 
2018-11-25 23:21:35,what human overemphasis understanding resolving extends mental health what depression rates supposed rise natural alarm toxic conditions what efforts better surface layer address root causes 
2018-11-25 23:21:29,let waste surpluses vote buying kids face many issues higher rates mental illness diabetes unemployment homelessness time invest evidence based programs ensure young australians get every chance reach potential 
2018-11-25 23:21:27,mental illness invalidation 
2018-11-25 23:21:23,thedailycunt 45 still talking much hates cardi daily basis baby mental illness 
2018-11-25 23:21:09,hi yes think dan actually uses mental health marketing tool clearly mistaken dont understand difference actually depressed talking help vs acting depressed views please kindly learn difference 
2018-11-25 23:20:55,ppl really saying dan needs delete channel cuz depressedare ppl fucking stupid stated multiple times passionate youtube something makes happy educate mental health saying shit like dumbasses 
2018-11-25 23:20:40,got 500 mental illness brain worms given moment besides brain issues life going pretty good 
2018-11-25 23:20:33,how acting fixing immigration health care mental illness crisis what wrong dc ive lost patience parties 
2018-11-25 23:20:31,but people understand take mental illness seriously people closed minded unwilling try think differently taught sad really 
2018-11-25 23:20:29,mental illness hard something people see assume rudeawkward really battling hard inside every second exhausting 
2018-11-25 23:20:24,second insurance company investigators stalked customers social media including *drumroll* snapchat 
2018-11-25 23:20:17,exactly known friends family members even aunt cancer fact people school literally joke joke mental illness awful 
2018-11-25 23:20:11,the romanticism mental illness 
2018-11-25 23:20:10,why ppl always say dan using fucking mental illness views shit that sick 
2018-11-25 23:19:45,think dan using depression views obviously never deal mental illness absolutely compassion people 
2018-11-25 23:19:42,bitcoin ready go zeros people still holding this mental illness 
2018-11-25 23:19:25,easy someone make fake account attribute someone social media background checks cant even get regular background checks include mental illness domestic violence 
2018-11-25 23:19:12,singing work happiness it mental illness 
2018-11-25 23:19:02,creative people already go thru enough trying make things especially literal career mental illness top draining allowed produce content however amp whenever wants bc his content 
2018-11-25 23:18:50,tried multiple times only thing worked knowing 72 hours longer physical addiction mental challenge caved 72 hours total **** and want total **** good luck you 
2018-11-25 23:18:49,dan finally feels like open us ab depression makes video talking struggles continues advocate mental health amp ppl still say clout views wtf 
2018-11-25 23:18:43,nah think somebody else informed mental illness lol 
2018-11-25 23:18:17,when mind tells body match thought processes mental illness plain simple 
2018-11-25 23:18:06,so theres criminals mix theres mental health issues someone coaching 
2018-11-25 23:18:03,why people self diagnose mental illness use excuse everything life you make much harder actually suffering mental illness taken seriously walnut 
2018-11-25 23:17:47,mental illness 
2018-11-25 23:17:43,completely agree koppel unfortunately sean hannity alone what peddles right likes peddle left as far concerned political ideology mental illness 
